,%,match,runtime,total
0,0.0425860634631383,2150,101.6718156337738,50486
1,0.8100470957613815,1032,100.8367805480957,1274
2,1.0,304,100.96905541419983,304
3,0.45135135135135135,167,101.24414372444153,370
4,0.2733333333333333,41,101.18972706794739,150
5,0.5840271353684859,1894,101.07105088233948,3243
6,0.5594579646017699,2023,100.9565486907959,3616
7,0.11650963651519361,9225,101.37297201156616,79178
8,0.10026836998627792,8257,100.93991422653198,82349
9,0.17777777777777778,24,100.79494404792786,135
10,0.5384615384615384,56,101.04257154464722,104
11,0.6627906976744186,57,101.11465764045715,86
12,0.8337393422655298,1369,100.93329787254333,1642
13,0.21354764638346727,372,101.06216168403625,1742
14,1.0,7,101.07142996788025,7
