,%,match,runtime,total
0,0.0009705660975319891,49,100.99159502983093,50486
1,0.5989010989010989,763,99.71371555328369,1274
2,0.029605263157894735,9,100.1195821762085,304
3,0.06756756756756757,25,100.4421169757843,370
4,0.1,15,100.30933976173401,150
5,0.3330249768732655,1080,99.1927981376648,3243
6,0.24446902654867256,884,99.67402076721191,3616
7,0.000972492358988608,77,99.783944606781,79178
8,0.0033880192837800094,279,99.55446863174438,82349
9,0.014814814814814815,2,99.18501424789429,135
10,0.17307692307692307,18,99.48725843429565,104
11,0.011627906976744186,1,99.62449860572815,86
12,0.02192448233861145,36,99.31786823272705,1642
13,0.0028702640642939152,5,99.43186211585999,1742
14,1.0,7,99.63640594482422,7
