,%,match,runtime,total
0,0.375,41,105.59985709190369,50486
1,0.3735680249050511,541,121.43329811096191,1274
2,0.08942307692307692,5,110.04656338691711,304
3,0.044444444444444446,6,117.10947108268738,370
4,0.052500000000000005,5,119.84693360328674,150
5,0.19142857142857145,996,111.12551617622375,3243
6,0.09687159800150047,386,121.005539894104,3616
7,0.028413292214700295,29,124.63207030296326,79178
8,0.2686458280076694,51,123.03214240074158,82349
9,0.0,0,111.28900599479675,135
10,0.42857142857142855,18,110.9225025177002,104
11,0.17037037037037037,16,114.13064074516296,86
12,0.0,0,117.9204695224762,1642
13,0.0005185377236193933,2,110.41893029212952,1742
14,1.0,7,108.85847306251526,7
