,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4005,19123,266,99.27525925636292
1,1,0.6441921131558859,19520,184,99.26608943939208
2,2,0.964102564102564,18950,242,99.22863054275513
3,3,0.635875,18709,279,99.50545883178712
4,4,0.0,18837,211,99.2491683959961
5,5,0.2791666666666667,15663,301,99.22762751579285
6,6,0.0,18287,217,99.59877252578735
7,7,0.0,21341,252,102.0012366771698
8,8,0.6,18948,278,99.36848020553587
9,9,0.1084565480513193,13684,154,101.68566703796387
10,10,0.0015000000000000002,13621,137,99.53284215927124
11,11,0.00038167938931297715,19802,213,99.42784786224364
