,Unnamed: 0,%,entities,relationships,runtime
0,0,0.5155,873900,615,119.49456286430359
1,1,0.78218786044873,881110,625,111.6119441986084
2,2,1.0,874672,610,119.93554854393005
3,3,1.0,877537,622,111.20277571678162
4,4,0.04166666666666666,882750,615,111.04055333137512
5,5,0.2791666666666667,872148,609,119.67433381080627
6,6,0.06576168929110106,866550,620,111.15063309669495
7,7,0.0,874664,605,111.0843629837036
8,8,1.0,872245,608,119.19041800498962
9,9,0.7182193173565722,859416,609,111.00756549835205
10,10,0.8504273504273504,861732,616,119.98630952835084
11,11,0.4147908521069944,867613,615,111.30450534820557
