,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4632555555555555,303599,214,1173.4493157863615
1,1,0.7186295243748659,184537,360,1207.1138339042666
2,2,0.9826658416210654,310789,97,798.1390600204468
3,3,0.7620535714285714,337444,255,1177.8051345348358
4,4,0.0,310186,225,1021.2671444416046
5,5,0.2791666666666667,363229,83,843.4558012485504
6,6,0.0,278365,244,977.6103191375732
7,7,0.0,344818,105,837.1019127368927
8,8,1.0,353065,88,924.9087340831757
9,9,0.678792544178165,336355,140,976.6611778736116
10,10,0.8038398268398268,196230,165,871.8948378562927
11,11,0.2679389312977099,376017,132,765.4857950210571
