,%,entities,relationships,runtime
0,0.5205,1382993,338,2377.6693568229675
1,0.7301283257804996,1354117,426,2464.075792312622
2,1.0,1775059,249,1430.011509180069
3,0.7714285714285714,1440236,365,2285.9143652915955
4,0.20833333333333334,1487040,348,1981.924753189087
5,0.2791666666666667,1814218,232,1539.677838087082
6,0.0,1571792,367,1827.9286017417908
7,0.0,1798383,269,1543.308219909668
8,1.0,1676018,225,1714.441220998764
9,0.7646545630597918,1585965,292,1860.7102618217468
10,0.8435897435897436,1511200,327,1578.4976694583893
11,0.33053435114503815,1811503,285,1339.5972650051117
