,%,entities,relationships,runtime
0,0.17777777777777776,8516,137,2306.635117292404
1,0.1868577781958519,7803,140,2221.5842745304108
2,0.40295201570521405,5555,87,1418.4119579792023
3,0.0,8256,184,2302.1762504577637
4,0.0,8203,111,1936.8114697933197
5,0.2791666666666667,2915,102,1567.5440165996552
6,0.0,8408,162,1822.604525566101
7,0.0,2846,110,1508.5268249511719
8,0.8666666666666668,2430,90,1709.4657616615295
9,0.09809731299927378,7889,90,1863.3119847774506
10,0.0008331668331668331,9029,114,1574.0770137310028
11,0.12538167938931297,8029,103,1344.5893468856812
