,%,entities,relationships,runtime
0,0.512,264581,278,2282.8929460048676
1,0.7332768680594768,134267,404,2104.3661801815033
2,1.0,305044,131,1376.675127506256
3,1.0,321098,314,2281.1015639305115
4,0.0,272891,255,1913.4992554187775
5,0.2791666666666667,362237,113,1492.8204760551453
6,0.0,231137,281,1778.4554708003998
7,0.0,342167,125,1591.549437046051
8,1.0,349843,124,1657.3067226409912
9,0.6909135802469136,257087,163,1830.478095293045
10,0.8333333333333334,162249,192,1549.9215352535248
11,0.26755725190839696,349072,148,1296.6358904838562
