,%,entities,relationships,runtime
0,0.5063,20032,189,2137.5007247924805
1,0.5575722103047079,47210,281,2304.2937042713165
2,1.0,42537,94,1386.7521603107452
3,0.7513214285714286,22502,231,2163.2883660793304
4,0.0,28052,190,1796.1128814220428
5,0.2791666666666667,45467,75,1503.7870218753815
6,0.0,24266,233,1668.2620038986206
7,0.0,43549,97,1489.0473139286041
8,1.0,40837,90,1671.193157196045
9,0.6906318082788672,47558,136,1837.282657623291
10,0.34860656010656016,25251,149,1460.4017541408539
11,0.25229007633587786,40363,127,1295.7226095199585
