,0.2,0.4,0.6000000000000001,0.8
0,1.0,0.5114913611615245,0.31710875,0.56875
1,0.5407715670380954,0.30654217520063864,0.35815254539900865,0.3402014683833058
2,0.23585858585858585,0.3244115958668197,0.6969696969696969,0.39663381808904197
3,0.3477266666666667,0.07500000000000001,0.21233333333333332,0.09937908496732027
4,1.0,0.2263877381938691,0.7692333333333333,0.3833333333333333
5,0.34809782537229506,0.24166666666666664,0.5466666666666666,0.5671752147693009
6,0.6784654368122409,0.6911843346964455,0.9608823529411765,0.9383078143064654
7,0.48861858031073385,0.2410205268664314,0.223833141272194,0.16124319988322752
8,0.8796296296296297,0.7795466666666666,0.4137467130884544,0.5044903286167169
9,0.13298245614035087,0.17917647058823527,0.17,0.11547619047619047
10,0.685064935064935,0.9939975,1.0,0.46923076923076923
11,0.14967216019847598,0.16666666666666666,0.04,0.2777777777777778
12,0.30874999999999997,0.16999999999999998,0.10062499999999999,0.1825877192982456
13,0.5191808278867103,0.08720869066794364,0.0756860098965362,0.2988595317601265
14,1.0,1.0,0.7231638418079096,1.0
