,Unnamed: 0,%,entities,relationships,runtime
0,0,0.48,19709,230,1193.8682978153226
1,1,0.4372881495840379,63105,316,1226.2384536266327
2,2,0.9830955735806484,37523,119,806.2778458595276
3,3,0.962875,21320,292,1187.942280292511
4,4,0.0,29341,214,1048.5228474140167
5,5,0.21666666666666667,44959,103,854.8469023704529
6,6,0.0,25147,255,983.9725391864777
7,7,0.0,41845,124,858.051926612854
8,8,1.0,39043,122,928.9905350208282
9,9,0.3547363834422658,15400,139,990.8639988899232
10,10,0.14747469197469198,27076,174,881.5141544342041
11,11,0.2515267175572519,21880,136,767.5481238365172
