,%,entities,relationships,runtime
0,0.3560555555555555,515,20,2041.2825889587402
1,0.0797064047064047,699,37,2035.4851784706116
2,0.32569348788698466,842,28,1297.449513912201
3,0.017857142857142856,572,44,2027.7492735385895
4,0.0,481,25,1735.5548164844513
5,0.0,838,56,1504.4167535305023
6,0.0,923,47,1689.5224225521088
7,0.0,751,50,1454.3992764949799
8,0.0,689,34,1607.5452225208282
9,0.0,923,46,1719.0870687961578
10,0.0008331668331668331,864,31,1457.4208419322968
11,0.0,874,49,1247.9117941856384
