,Unnamed: 0,%,entities,relationships,runtime
0,0,0.5178,1383951,359,1243.1380596160886
1,1,0.7541226889052977,1392906,453,1288.0104584693906
2,2,0.9994505494505496,1774612,253,904.6218547821044
3,3,0.9750178571428572,1443691,391,1259.38223528862
4,4,0.20833333333333331,1487150,368,1110.3384628295896
5,5,0.2791666666666667,1814278,242,964.928688764572
6,6,0.0,1572754,383,1071.8314425945282
7,7,0.0,1798444,275,935.288820028305
8,8,1.0,1676333,230,1002.2055757045746
9,9,0.7586961994674413,1572957,301,1080.7611863613126
10,10,0.8367801087801087,1497142,330,958.571249961853
11,11,0.3305343511450381,1810139,287,849.5477588176727
