,%,match,runtime,total
0,0.8975416666666667,33921,1685.077143907547,50486
1,0.9652380952380952,1240,1260.2358510494232,1274
2,1.0,304,895.4800901412964,304
3,0.823529411764706,286,1590.0501098632812,370
4,0.7925,121,1433.8073434829712,150
5,0.9619139510642967,3116,1163.4549627304077,3243
6,1.0,3616,1563.1542234420776,3616
7,0.5778183550110517,44218,1635.3476803302765,79178
8,0.9442039729717691,66227,1328.8804259300232,82349
9,0.9944444444444444,134,1007.1969456672668,135
10,0.6208791208791207,35,1717.3195028305054,104
11,0.8888888888888888,76,1739.0508563518524,86
12,0.9405458089668616,1520,1226.6568567752838,1642
13,0.679039355152244,1531,1653.2838170528412,1742
14,1.0,7,1382.5900988578796,7
