,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4450555555555555,24423,208,1199.7611320018766
1,1,0.5496248045101365,49744,302,1202.8722903728485
2,2,0.9820237287588034,42151,93,805.8476889133452
3,3,0.8586785714285714,26770,253,1196.0751700401304
4,4,0.0,31928,209,1047.6291902065275
5,5,0.2791666666666667,45486,82,852.0297636985779
6,6,0.0,25234,229,991.7239811420441
7,7,0.0,43544,100,845.2696418762207
8,8,0.9083333333333332,40938,86,937.445173740387
9,9,0.6724512224642942,47816,143,991.2681095600128
10,10,0.3595990675990676,28812,159,871.2011551856995
11,11,0.25267175572519085,41171,129,778.1839141845703
