,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4732555555555555,1387335,340,1239.8532614707947
1,1,0.7344819087055112,1394280,417,1296.5379540920258
2,2,0.9996336996336996,1775195,249,890.3939249515532
3,3,0.7635535714285715,1445249,363,1268.327394247055
4,4,0.20833333333333331,1490823,348,1111.0531039237976
5,5,0.2791666666666667,1814401,233,949.6625032424927
6,6,0.0,1577539,359,1083.0540874004364
7,7,0.0,1798773,265,921.3236353397368
8,8,1.0,1676798,225,1001.487994670868
9,9,0.7609779714354877,1586865,291,1080.921684741974
10,10,0.8375912420912419,1509168,328,958.9565422534944
11,11,0.3312977099236641,1813595,283,848.8644726276398
