,%,match,runtime,total
0,0.028086994414293073,1418,2149.460880756378,50486
1,0.8084772370486656,1030,1400.2168073654175,1274
2,1.0,304,983.4684052467346,304
3,0.21351351351351353,79,1754.1624002456665,370
4,0.2733333333333333,41,1593.4876477718353,150
5,0.5279062596361394,1712,1292.809778213501,3243
6,0.8517699115044248,3080,1786.1633956432343,3616
7,0.01467579378110081,1162,1845.5229239463806,79178
8,0.07695296846349076,6337,1476.5515015125275,82349
9,0.14814814814814814,20,1117.9115011692047,135
10,0.3076923076923077,32,1988.0909714698792,104
11,0.6395348837209303,55,1957.3488595485687,86
12,0.8136419001218027,1336,1399.9949355125427,1642
13,0.1791044776119403,312,1905.1881165504456,1742
14,1.0,7,1695.6956691741943,7
