,%,entities,relationships,runtime
0,0.5205,1377135,360,2294.3262856006622
1,0.7479621827447913,1349751,447,2437.1459271907806
2,1.0,1774455,254,1472.9993841648102
3,1.0,1437326,396,2332.5947160720825
4,0.20833333333333334,1481070,370,1981.955612897873
5,0.2791666666666667,1814031,239,1568.8568661212921
6,0.0,1564332,376,1856.5974435806274
7,0.0,1798069,276,1571.6802327632904
8,1.0,1675373,229,1738.7958471775055
9,0.7640493827160495,1566221,300,1893.444670677185
10,0.8435897435897436,1502889,326,1605.083312034607
11,0.33053435114503815,1803117,284,1364.1171822547913
