,Unnamed: 0,%,entities,relationships,runtime
0,0,0.2227222222222222,536,19,1120.152622938156
1,1,0.051947399006222535,741,42,1116.8975591659546
2,2,0.32569348788698466,866,28,772.1937215328218
3,3,0.0,564,50,1121.9173288345337
4,4,0.0,547,30,984.8010125160216
5,5,0.0,860,58,867.7712845802307
6,6,0.0,905,54,966.446303844452
7,7,0.0,795,54,845.3041353225708
8,8,0.0,729,34,931.1823916435243
9,9,0.0005654805131929313,914,44,967.2348699569702
10,10,0.0008331668331668331,870,35,858.5666015148163
11,11,0.12576335877862596,880,49,757.2098848819733
