,Unnamed: 0,%,entities,relationships,runtime
0,0,0.0005,853,39,1132.6638808250427
1,1,0.036041736041736036,892,47,1118.2447254657743
2,2,0.2971220593155561,903,32,774.8640031814575
3,3,0.017857142857142856,808,58,1119.4033970832822
4,4,0.0,673,41,989.7026631832124
5,5,0.0,859,50,878.6872797012329
6,6,0.0,918,47,958.4600872993468
7,7,0.0,891,60,857.8897840976715
8,8,0.0,820,46,932.6365413665773
9,9,0.0,901,47,965.6128122806548
10,10,0.0008331668331668331,944,39,851.352620601654
11,11,0.12538167938931294,897,50,775.6124107837677
