,%,entities,relationships,runtime
0,0.40069999999999995,5052,81,2236.7216334342957
1,0.3475272783035353,5688,110,2150.2520546913147
2,0.8692065155684559,5551,82,1393.7985951900482
3,0.3789464285714286,6802,158,2247.25092959404
4,0.0,7425,99,1893.7824037075043
5,0.2791666666666667,3410,64,1533.8002951145172
6,0.0,7618,159,1779.1330959796906
7,0.0,2832,92,1493.4725008010864
8,0.9333333333333332,2416,74,1687.8368413448334
9,0.10104575163398694,8305,86,1827.7700021266937
10,0.0008331668331668331,7140,86,1539.2922811508179
11,0.12576335877862596,8375,101,1322.3495464324951
